Ind,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,Prog,Url
394,2023,Brentford,Premier League,Mikkel Damsgaard,DEN,"MF,FW",22-134,2000,3,84,121,69.4,1173,503,46,51,90.2,27,41,65.9,5,11,45.5,0,0.4,0.5,-0.4,4,11,5,0,13,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard
395,2023,Brentford,Premier League,Josh Dasilva,ENG,MF,24-022,1998,7.6,266,329,80.9,4416,1049,128,144,88.9,115,130,88.5,18,36,50,1,1.1,1.1,-0.1,5,20,9,1,18,https://fbref.com/en/players/60344e4f/Josh-Dasilva
396,2023,Brentford,Premier League,Halil Dervişoğlu,TUR,MF,22-341,1999,0.1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/9d8cf204/Halil-Dervisoglu
397,2023,Brentford,Premier League,Saman Ghoddos,IRN,"MF,FW",29-069,1993,0.4,16,21,76.2,209,53,10,11,90.9,6,7,85.7,0,3,0,0,0,0,0,0,1,0,0,0,https://fbref.com/en/players/f7b1d4e0/Saman-Ghoddos
398,2023,Brentford,Premier League,Rico Henry,ENG,DF,25-129,1997,15,349,480,72.7,5243,1721,204,236,86.4,112,158,70.9,22,56,39.3,1,0.8,1,0.2,8,27,12,5,28,https://fbref.com/en/players/8a3c1dc7/Rico-Henry
399,2023,Brentford,Premier League,Aaron Hickey,SCO,DF,20-157,2002,7.5,229,287,79.8,3256,931,144,161,89.4,71,88,80.7,8,23,34.8,0,0,0.1,0,1,19,5,1,14,https://fbref.com/en/players/1780bb4a/Aaron-Hickey
400,2023,Brentford,Premier League,Vitaly Janelt,GER,"MF,DF",24-188,1998,11,383,451,84.9,6688,1788,192,212,90.6,136,154,88.3,47,62,75.8,1,0.7,0.5,0.3,6,34,6,2,23,https://fbref.com/en/players/8449d35e/Vitaly-Janelt
401,2023,Brentford,Premier League,Pontus Jansson,SWE,DF,31-274,1991,5.7,195,239,81.6,3806,1212,53,64,82.8,124,139,89.2,18,30,60,0,0,0.1,0,0,9,0,0,12,https://fbref.com/en/players/172e52d8/Pontus-Jansson
402,2023,Brentford,Premier League,Mathias Jensen,DEN,MF,26-317,1996,12.5,447,639,70,8992,3453,198,233,85,159,217,73.3,80,161,49.7,3,2,1.8,1,22,51,14,5,41,https://fbref.com/en/players/0f134faf/Mathias-Jensen
403,2023,Brentford,Premier League,Mathias Jørgensen,DEN,DF,32-205,1990,5.1,204,251,81.3,3473,1396,86,98,87.8,109,133,82,7,17,41.2,0,0.1,0.1,-0.1,1,18,0,0,14,https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen
404,2023,Brentford,Premier League,Keane Lewis-Potter,ENG,"FW,MF",21-265,2001,3.2,37,64,57.8,446,91,24,37,64.9,9,11,81.8,1,7,14.3,1,1.2,0.3,-0.2,5,0,2,1,1,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter
405,2023,Brentford,Premier League,Bryan Mbeumo,CMR,FW,23-099,1999,12.4,220,330,66.7,3546,1076,123,150,82,67,106,63.2,22,41,53.7,1,1.6,1.7,-0.6,15,13,15,6,20,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo
406,2023,Brentford,Premier League,Ben Mee,ENG,DF,33-054,1989,13.4,532,688,77.3,10370,3872,188,224,83.9,270,321,84.1,70,122,57.4,0,0.1,0.4,-0.1,1,22,3,0,19,https://fbref.com/en/players/8df7a2fb/Ben-Mee
407,2023,Brentford,Premier League,Christian Nørgaard,DEN,MF,28-249,1994,3.8,134,170,78.8,2182,622,71,84,84.5,49,63,77.8,10,16,62.5,0,0.1,0.6,-0.1,2,12,1,0,5,https://fbref.com/en/players/df0a4c90/Christian-Norgaard
408,2023,Brentford,Premier League,Frank Onyeka,NGA,MF,24-317,1998,4.9,97,129,75.2,1481,384,54,67,80.6,33,43,76.7,6,11,54.5,1,0.5,0.7,0.5,5,11,3,0,11,https://fbref.com/en/players/2944f86f/Frank-Onyeka
409,2023,Brentford,Premier League,Ethan Pinnock,JAM,DF,29-169,1993,7,217,286,75.9,3914,1562,90,106,84.9,99,116,85.3,23,50,46,0,0.1,0.3,-0.1,2,17,0,0,11,https://fbref.com/en/players/e541326e/Ethan-Pinnock
410,2023,Brentford,Premier League,David Raya,ESP,GK,27-060,1995,15,434,647,67.1,13978,10707,73,75,97.3,177,182,97.3,183,386,47.4,0,0,0.1,0,1,27,2,0,5,https://fbref.com/en/players/98ea5115/David-Raya
411,2023,Brentford,Premier League,Mads Roerslev,DEN,DF,23-143,1999,4.8,94,143,65.7,1508,572,50,65,76.9,38,47,80.9,5,21,23.8,0,0.5,0.3,-0.5,4,6,5,3,10,https://fbref.com/en/players/57c94db2/Mads-Roerslev
412,2023,Brentford,Premier League,Ivan Toney,ENG,FW,26-243,1996,14,204,327,62.4,2650,883,126,177,71.2,49,80,61.3,10,16,62.5,2,2.1,1.2,-0.1,15,21,11,3,22,https://fbref.com/en/players/e09f279b/Ivan-Toney
413,2023,Brentford,Premier League,Yoane Wissa,COD,FW,26-072,1996,7.1,98,139,70.5,1284,269,66,78,84.6,20,27,74.1,4,11,36.4,1,1,0.2,0,4,13,4,0,8,https://fbref.com/en/players/2500cef9/Yoane-Wissa
414,2023,Brest,Ligue 1,Taïryk Arconte,FRA,FW,19-002,2003,0.3,1,1,100,4,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/c5e6c017/Tairyk-Arconte
415,2023,Brest,Ligue 1,Youcef Belaïli,ALG,"FW,MF",30-245,1992,4,114,158,72.2,2224,569,47,52,90.4,42,50,84,20,42,47.6,2,0.8,1.2,1.2,8,4,8,1,12,https://fbref.com/en/players/1a248246/Youcef-Belaili
416,2023,Brest,Ligue 1,Haris Belkebla,ALG,MF,28-290,1994,12.1,489,586,83.4,8703,2291,200,225,88.9,226,253,89.3,49,73,67.1,0,0.5,0.6,-0.5,7,57,7,1,50,https://fbref.com/en/players/2b1bed19/Haris-Belkebla
417,2023,Brest,Ligue 1,Marco Bizot,NED,GK,31-249,1991,14,266,370,71.9,8044,5723,31,31,100,138,141,97.9,97,197,49.2,0,0,0,0,0,6,1,0,0,https://fbref.com/en/players/3d214e5f/Marco-Bizot
418,2023,Brest,Ligue 1,Joaquín Blázquez,ARG,GK,21-290,2001,1,21,29,72.4,728,535,6,6,100,7,8,87.5,8,14,57.1,0,0,0,0,0,1,0,0,0,https://fbref.com/en/players/6a9e4913/Joaquin-Blazquez
419,2023,Brest,Ligue 1,Lilian Brassier,FRA,DF,23-012,1999,13.3,545,705,77.3,10636,4563,210,236,89,255,297,85.9,71,144,49.3,0,0.8,1,-0.8,6,49,10,6,47,https://fbref.com/en/players/5b146df3/Lilian-Brassier
420,2023,Brest,Ligue 1,Mahdi Camara,FRA,MF,24-137,1998,6.5,222,258,86,3247,800,110,116,94.8,88,104,84.6,7,10,70,0,0.2,0.1,-0.2,3,19,1,0,13,https://fbref.com/en/players/8577e60a/Mahdi-Camara
421,2023,Brest,Ligue 1,Axel Camblan,FRA,"FW,MF",19-076,2003,0.4,6,8,75,68,15,5,5,100,1,1,100,0,1,0,0,0,0.1,0,1,0,0,0,0,https://fbref.com/en/players/9f4a940f/Axel-Camblan
422,2023,Brest,Ligue 1,Irvin Cardona,FRA,"FW,MF",25-098,1997,2.6,34,58,58.6,468,79,21,32,65.6,10,17,58.8,1,4,25,0,0.3,0,-0.3,3,2,0,0,1,https://fbref.com/en/players/5e080f73/Irvin-Cardona
423,2023,Brest,Ligue 1,Brendan Chardonnet,FRA,DF,27-327,1994,13.5,561,675,83.1,12794,4666,148,168,88.1,299,327,91.4,108,167,64.7,0,0.3,0.3,-0.3,6,51,5,2,27,https://fbref.com/en/players/16aa7d4c/Brendan-Chardonnet
424,2023,Brest,Ligue 1,Achraf Dari,MAR,DF,23-192,1999,8,336,412,81.6,7570,2508,71,87,81.6,193,214,90.2,67,101,66.3,0,0,0.1,0,1,16,0,0,21,https://fbref.com/en/players/5069b796/Achraf-Dari
425,2023,Brest,Ligue 1,Romain Del Castillo,FRA,"FW,MF",26-230,1996,5.7,164,251,65.3,2891,1093,83,108,76.9,49,69,71,24,58,41.4,2,1.6,1.6,0.4,10,16,14,4,21,https://fbref.com/en/players/0be95d34/Romain-Del-Castillo
426,2023,Brest,Ligue 1,Karamoko Dembele,SCO,"FW,MF",19-265,2003,1.1,34,55,61.8,559,145,19,23,82.6,9,19,47.4,4,7,57.1,0,0.2,0.2,-0.2,3,0,2,1,3,https://fbref.com/en/players/7304f3b1/Karamoko-Dembele
427,2023,Brest,Ligue 1,Jean-Kevin Duverne,FRA,DF,25-125,1997,12.3,497,672,74,8481,3400,248,282,87.9,177,233,76,52,110,47.3,0,0.3,0.4,-0.3,6,57,3,3,49,https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne
428,2023,Brest,Ligue 1,Noah Fadiga,SEN,DF,22-346,1999,7.2,284,345,82.3,4466,1620,143,161,88.8,123,136,90.4,13,31,41.9,0,0,0.3,0,1,25,4,3,25,https://fbref.com/en/players/83f03b07/Noah-Fadiga
429,2023,Brest,Ligue 1,Christophe Hérelle,MTQ,DF,30-084,1992,3.7,135,154,87.7,2748,906,38,44,86.4,66,73,90.4,25,30,83.3,0,0.1,0.2,-0.1,1,3,2,0,10,https://fbref.com/en/players/3681cfff/Christophe-Herelle
430,2023,Brest,Ligue 1,Franck Honorat,FRA,"FW,MF",26-095,1996,12.9,319,485,65.8,5678,1664,154,199,77.4,104,145,71.7,46,97,47.4,1,3.9,3.7,-2.9,34,19,22,13,27,https://fbref.com/en/players/db7849ca/Franck-Honorat
431,2023,Brest,Ligue 1,Jérémy Le Douaron,FRA,"FW,MF",24-207,1998,5.8,66,94,70.2,857,103,41,51,80.4,20,31,64.5,1,2,50,0,0,0.1,0,1,3,3,1,3,https://fbref.com/en/players/88c4d190/Jeremy-Le-Douaron
432,2023,Brest,Ligue 1,Pierre Lees-Melou,FRA,MF,29-173,1993,10.7,446,521,85.6,9097,3197,165,187,88.2,182,201,90.5,83,108,76.9,0,0.4,1,-0.4,5,65,6,2,52,https://fbref.com/en/players/f5044e54/Pierre-Lees-Melou
433,2023,Brest,Ligue 1,Hugo Magnetti,FRA,MF,24-168,1998,6.6,251,309,81.2,4978,1110,101,119,84.9,112,128,87.5,36,52,69.2,0,0.2,0.2,-0.2,4,29,5,2,29,https://fbref.com/en/players/d4d35152/Hugo-Magnetti
434,2023,Brest,Ligue 1,Hianga Mananga Mbock,FRA,MF,22-321,1999,0.2,8,10,80,146,13,3,3,100,4,6,66.7,1,1,100,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/0f86995c/Hianga-Mananga-Mbock
435,2023,Brest,Ligue 1,Steve Mounié,BEN,"FW,MF",28-046,1994,0.5,7,16,43.8,75,24,6,10,60,1,4,25,0,1,0,0,0,0,0,0,2,0,0,0,https://fbref.com/en/players/19ba6c6d/Steve-Mounie
436,2023,Brest,Ligue 1,Mathias Pereira Lage,POR,"MF,FW",25-349,1996,10.5,206,303,68,3280,993,105,132,79.5,64,95,67.4,23,45,51.1,1,1.4,1,-0.4,9,24,2,1,15,https://fbref.com/en/players/8846a40f/Mathias-Pereira-Lage
437,2023,Brest,Ligue 1,Islam Slimani,ALG,FW,34-149,1988,9.2,225,313,71.9,3235,618,122,163,74.8,74,98,75.5,12,19,63.2,1,0.9,1.4,0.1,11,20,4,0,20,https://fbref.com/en/players/ffec9769/Islam-Slimani
438,2023,Brest,Ligue 1,Jere Uronen,FIN,DF,28-124,1994,2.5,101,126,80.2,1755,643,42,48,87.5,44,49,89.8,10,19,52.6,1,0.2,0.7,0.8,1,11,5,4,12,https://fbref.com/en/players/d75f3980/Jere-Uronen
439,2023,Brighton,Premier League,Moisés Caicedo,ECU,MF,21-012,2001,13.8,665,766,86.8,10325,2843,361,399,90.5,233,267,87.3,50,59,84.7,0,0.8,1,-0.8,15,71,20,4,65,https://fbref.com/en/players/16264a81/Moises-Caicedo
440,2023,Brighton,Premier League,Julio César Enciso,PAR,"MF,FW",18-295,2004,0.9,8,14,57.1,73,4,5,8,62.5,1,1,100,0,1,0,0,0,0,0,0,1,0,0,0,https://fbref.com/en/players/9cfbad36/Julio-Cesar-Enciso
441,2023,Brighton,Premier League,Levi Colwill,ENG,DF,19-261,2003,1.1,68,84,81,1236,518,28,33,84.8,30,36,83.3,10,12,83.3,0,0,0,0,0,9,2,0,6,https://fbref.com/en/players/700783e7/Levi-Colwill
442,2023,Brighton,Premier League,Lewis Dunk,ENG,DF,30-358,1991,14,858,964,89,17358,6385,271,286,94.8,446,469,95.1,126,184,68.5,0,0.1,0.2,-0.1,1,34,2,0,24,https://fbref.com/en/players/282f75f3/Lewis-Dunk
443,2023,Brighton,Premier League,Pervis Estupiñán,ECU,DF,24-297,1998,7,314,398,78.9,4514,1627,179,202,88.6,108,134,80.6,14,30,46.7,0,1.7,1.4,-1.7,13,18,14,6,27,https://fbref.com/en/players/d38fdf53/Pervis-Estupinan
444,2023,Brighton,Premier League,Billy Gilmour,SCO,MF,21-156,2001,0.2,32,36,88.9,544,79,14,16,87.5,16,17,94.1,2,2,100,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/df10e27c/Billy-Gilmour
445,2023,Brighton,Premier League,Pascal Groß,GER,"MF,FW",31-152,1991,13.2,443,638,69.4,7593,2315,227,264,86,164,222,73.9,43,110,39.1,2,3.4,2.7,-1.4,26,43,18,2,48,https://fbref.com/en/players/8aec0537/Pascal-Gross
446,2023,Brighton,Premier League,Jan Paul van Hecke,NED,DF,22-159,2000,0,1,1,100,22,11,0,0,NA,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4fd08daa/Jan-Paul-van-Hecke
447,2023,Brighton,Premier League,Adam Lallana,ENG,"MF,FW",34-188,1988,5.4,178,212,84,2084,456,111,123,90.2,42,50,84,4,6,66.7,1,0.8,1,0.2,11,19,6,1,13,https://fbref.com/en/players/99813635/Adam-Lallana
448,2023,Brighton,Premier League,Tariq Lamptey,GHA,DF,22-045,2000,2.1,85,114,74.6,1298,398,47,56,83.9,36,44,81.8,2,12,16.7,0,0.1,0.2,-0.1,2,3,5,3,6,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey
449,2023,Brighton,Premier League,Alexis Mac Allister,ARG,MF,23-325,1998,14,724,823,88,12206,2942,344,377,91.2,313,333,94,52,73,71.2,0,0.8,1.1,-0.8,13,65,8,1,49,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
450,2023,Brighton,Premier League,Solly March,ENG,"DF,FW",28-117,1994,13.5,412,576,71.5,7362,1793,193,230,83.9,158,211,74.9,50,95,52.6,2,1.3,1.4,0.7,17,29,15,4,49,https://fbref.com/en/players/bb5fbd2b/Solly-March
451,2023,Brighton,Premier League,Kaoru Mitoma,JPN,"FW,MF",25-178,1997,3.5,124,158,78.5,1576,480,85,99,85.9,32,41,78,1,4,25,1,2.2,1.7,-1.2,10,5,12,0,17,https://fbref.com/en/players/74618572/Kaoru-Mitoma
452,2023,Brighton,Premier League,Enock Mwepu,ZAM,"FW,MF",24-317,1998,2.4,61,78,78.2,819,126,42,50,84,15,17,88.2,3,5,60,1,0.5,0.2,0.5,3,5,2,0,4,https://fbref.com/en/players/1d5cab82/Enock-Mwepu
453,2023,Brighton,Premier League,Robert Sánchez,ESP,GK,24-361,1997,14,341,480,71,8890,5837,84,85,98.8,169,172,98.3,85,213,39.9,0,0,0,0,0,11,0,0,0,https://fbref.com/en/players/6a713852/Robert-Sanchez
454,2023,Brighton,Premier League,Jeremy Sarmiento,ECU,"MF,FW",20-151,2002,0.1,1,1,100,12,0,1,1,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/ac0d576d/Jeremy-Sarmiento
455,2023,Brighton,Premier League,Leandro Trossard,BEL,"FW,MF",27-345,1994,13,345,482,71.6,5692,1819,178,212,84,116,166,69.9,37,59,62.7,2,1.9,1.9,0.1,21,41,24,7,46,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
456,2023,Brighton,Premier League,Deniz Undav,GER,"FW,MF",26-118,1996,1.1,23,27,85.2,236,48,16,19,84.2,2,2,100,1,1,100,0,0.2,0.2,-0.2,3,1,0,0,0,https://fbref.com/en/players/dd549382/Deniz-Undav
457,2023,Brighton,Premier League,Joël Veltman,NED,DF,30-303,1992,10.5,537,661,81.2,9635,3470,214,240,89.2,275,316,87,41,81,50.6,0,0.2,0.6,-0.2,2,75,5,3,29,https://fbref.com/en/players/dad4b285/Joel-Veltman
458,2023,Brighton,Premier League,Adam Webster,ENG,DF,27-314,1995,13,770,894,86.1,14548,5331,292,318,91.8,391,440,88.9,80,117,68.4,0,0,0.3,0,2,73,4,1,45,https://fbref.com/en/players/c40b6180/Adam-Webster
459,2023,Brighton,Premier League,Danny Welbeck,ENG,FW,31-353,1990,11.1,155,189,82,1807,298,97,115,84.3,42,47,89.4,2,5,40,2,1.8,1.1,0.2,13,12,5,0,11,https://fbref.com/en/players/ce5143da/Danny-Welbeck
460,2023,Cádiz,La Liga,Tomás Alarcón,CHI,MF,23-299,1999,2.5,78,95,82.1,1688,582,28,32,87.5,27,34,79.4,20,25,80,0,0.1,0.1,-0.1,2,11,1,0,6,https://fbref.com/en/players/99ea2ddd/Tomas-Alarcon
461,2023,Cádiz,La Liga,Rubén Alcaraz,ESP,MF,31-197,1991,5.7,189,240,78.8,3775,1213,70,89,78.7,76,82,92.7,33,53,62.3,0,0.4,0.3,-0.4,6,22,3,2,14,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz
462,2023,Cádiz,La Liga,Iván Alejo,ESP,"MF,FW",27-277,1995,7.3,102,179,57,1414,371,65,87,74.7,21,40,52.5,8,25,32,1,0.8,0.5,0.2,8,3,7,6,5,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo
463,2023,Cádiz,La Liga,Santiago Arzamendia,PAR,"MF,DF",24-193,1998,2.8,68,99,68.7,1050,470,37,46,80.4,21,28,75,5,12,41.7,0,0.3,0.2,-0.3,4,6,3,0,6,https://fbref.com/en/players/759d8dd7/Santiago-Arzamendia
464,2023,Cádiz,La Liga,Blanco,ESP,MF,22-114,2000,1.8,57,61,93.4,818,137,31,33,93.9,22,24,91.7,1,1,100,0,0,0.1,0,1,3,1,0,1,https://fbref.com/en/players/506daeac/Blanco
465,2023,Cádiz,La Liga,Theo Bongonda,COD,MF,26-359,1995,5,80,111,72.1,1099,217,50,60,83.3,20,28,71.4,6,11,54.5,0,0,0.1,0,2,2,2,0,5,https://fbref.com/en/players/0da6a13e/Theo-Bongonda
466,2023,Cádiz,La Liga,Cala,ESP,DF,32-353,1989,1.5,30,38,78.9,792,274,4,5,80,14,17,82.4,12,16,75,0,0,0,0,0,0,0,0,2,https://fbref.com/en/players/fe05804b/Cala
467,2023,Cádiz,La Liga,Isaac Carcelen,ESP,DF,29-205,1993,5,158,191,82.7,2436,867,79,86,91.9,66,78,84.6,7,16,43.8,0,0.3,0.1,-0.3,2,8,2,2,6,https://fbref.com/en/players/c4b888df/Isaac-Carcelen
468,2023,Cádiz,La Liga,Víctor Chust,ESP,DF,22-254,2000,9.5,326,395,82.5,7219,2697,92,103,89.3,152,172,88.4,73,104,70.2,0,0,0.1,0,1,20,1,0,14,https://fbref.com/en/players/ec1a731e/Victor-Chust
469,2023,Cádiz,La Liga,Mamady Diarra,MLI,"MF,DF",22-141,2000,0.7,8,9,88.9,103,26,4,5,80,3,3,100,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/80211dc5/Mamady-Diarra
470,2023,Cádiz,La Liga,Alfonso Espino,URU,DF,30-313,1992,12.7,342,535,63.9,5516,2537,174,213,81.7,128,184,69.6,27,87,31,3,0.7,0.8,2.3,9,24,8,4,27,https://fbref.com/en/players/db001fa9/Alfonso-Espino
471,2023,Cádiz,La Liga,Fali,ESP,"DF,MF",29-094,1993,6.2,159,207,76.8,3604,1312,43,55,78.2,84,97,86.6,31,50,62,0,0.1,0.1,-0.1,2,15,1,0,13,https://fbref.com/en/players/72a84002/Fali
472,2023,Cádiz,La Liga,Álex Fernández,ESP,"MF,FW",30-030,1992,7.8,253,299,84.6,4072,1135,136,145,93.8,83,97,85.6,26,46,56.5,0,0.5,0.5,-0.5,6,23,0,0,11,https://fbref.com/en/players/aa677a35/Alex-Fernandez
473,2023,Cádiz,La Liga,Álvaro Giménez,ESP,FW,31-179,1991,0.2,2,2,100,21,6,1,1,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/18017beb/Alvaro-Gimenez
474,2023,Cádiz,La Liga,Luis Hernández,ESP,DF,33-214,1989,12,383,524,73.1,8014,3177,111,125,88.8,205,246,83.3,61,138,44.2,0,0.2,0.2,-0.2,4,27,1,1,22,https://fbref.com/en/players/02d2c436/Luis-Hernandez
475,2023,Cádiz,La Liga,Jeremías Ledesma,ARG,GK,29-274,1993,14,251,452,55.5,9414,7787,29,29,100,92,95,96.8,130,325,40,0,0,0,0,1,15,0,0,0,https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma
476,2023,Cádiz,La Liga,Anthony Lozano,HON,FW,29-203,1993,8.4,96,143,67.1,1219,315,61,77,79.2,28,41,68.3,1,7,14.3,0,0.5,0.7,-0.5,6,9,3,0,11,https://fbref.com/en/players/38699c72/Anthony-Lozano
477,2023,Cádiz,La Liga,Awer Mabil,AUS,"MF,FW",27-060,1995,1.8,34,54,63,422,149,22,28,78.6,6,10,60,2,9,22.2,0,0,0,0,1,4,0,0,4,https://fbref.com/en/players/922da988/Awer-Mabil
478,2023,Cádiz,La Liga,José Mari,ESP,MF,34-343,1987,3.2,106,133,79.7,2278,810,32,40,80,44,49,89.8,25,35,71.4,0,0.3,0.1,-0.3,5,24,1,0,10,https://fbref.com/en/players/6f4c734d/Jose-Mari
479,2023,Cádiz,La Liga,Mamadou Mbaye,SEN,DF,24-139,1998,2.3,53,72,73.6,1080,389,20,22,90.9,26,32,81.3,7,15,46.7,0,0,0,0,0,6,1,0,5,https://fbref.com/en/players/8aae94b9/Mamadou-Mbaye
480,2023,Cádiz,La Liga,Álvaro Negredo,ESP,FW,37-086,1985,4.6,58,100,58,928,162,33,50,66,14,25,56,7,13,53.8,1,0.7,1,0.3,4,3,1,0,4,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo
481,2023,Cádiz,La Liga,Brian Ocampo,URU,"MF,FW",23-142,1999,6.2,119,161,73.9,1782,509,71,90,78.9,30,41,73.2,12,18,66.7,0,0.3,0.6,-0.3,5,7,7,4,6,https://fbref.com/en/players/2e3995cd/Brian-Ocampo
482,2023,Cádiz,La Liga,Alberto Perea,ESP,MF,31-330,1990,0.5,10,12,83.3,114,30,6,7,85.7,3,3,100,0,1,0,0,0,0,0,0,0,0,0,1,https://fbref.com/en/players/5496cc91/Alberto-Perea
483,2023,Cádiz,La Liga,Lucas Pérez,ESP,FW,34-065,1988,6.6,159,223,71.3,2517,610,89,99,89.9,45,57,78.9,17,48,35.4,0,0.2,0.7,-0.2,3,13,7,3,9,https://fbref.com/en/players/a300ac7e/Lucas-Perez
484,2023,Cádiz,La Liga,Fede San Emeterio,ESP,MF,25-243,1997,8.8,240,299,80.3,4197,1096,115,131,87.8,94,108,87,25,41,61,0,0,0.1,0,1,20,1,0,13,https://fbref.com/en/players/efecd633/Fede-San-Emeterio
485,2023,Cádiz,La Liga,Rubén Sobrino,ESP,"MF,FW",30-166,1992,8.9,142,186,76.3,1779,458,81,102,79.4,43,48,89.6,3,6,50,0,0.4,0.3,-0.4,7,8,0,0,2,https://fbref.com/en/players/19b776e9/Ruben-Sobrino
486,2023,Cádiz,La Liga,Joseba Zaldúa,ESP,DF,30-143,1992,7.1,190,277,68.6,3001,1133,104,119,87.4,68,100,68,15,42,35.7,1,0,0.2,1,2,11,2,2,9,https://fbref.com/en/players/5ca20b7a/Joseba-Zaldua
487,2023,Celta Vigo,La Liga,Joseph Aidoo,GHA,DF,27-046,1995,14,625,734,85.1,12828,4072,165,193,85.5,386,414,93.2,69,110,62.7,0,0,0.2,0,1,39,3,0,35,https://fbref.com/en/players/18abe173/Joseph-Aidoo
488,2023,Celta Vigo,La Liga,Iago Aspas,ESP,FW,35-105,1987,12.5,362,471,76.9,5526,1290,208,245,84.9,109,142,76.8,30,44,68.2,2,2.3,2,-0.3,36,34,15,1,35,https://fbref.com/en/players/7dcf86f6/Iago-Aspas
489,2023,Celta Vigo,La Liga,Fran Beltrán,ESP,MF,23-284,1999,12.5,709,772,91.8,12756,2748,289,308,93.8,338,354,95.5,65,81,80.2,1,0.6,0.8,0.4,8,51,7,1,37,https://fbref.com/en/players/ed5c5fa3/Fran-Beltran
490,2023,Celta Vigo,La Liga,Franco Cervi,ARG,MF,28-172,1994,11.3,268,379,70.7,3827,1058,163,191,85.3,79,107,73.8,15,39,38.5,2,0.7,1.1,1.3,10,20,10,3,21,https://fbref.com/en/players/5e1028e5/Franco-Cervi
491,2023,Celta Vigo,La Liga,Carlos Dominguez,ESP,MF,21-276,2001,0,1,2,50,12,11,1,1,100,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/3521abfe/Carlos-Dominguez
492,2023,Celta Vigo,La Liga,Pablo Durán,ESP,"MF,DF",21-293,2001,0.3,12,18,66.7,156,13,9,13,69.2,3,4,75,0,1,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/6db116ec/Pablo-Duran
493,2023,Celta Vigo,La Liga,Javi Galán,ESP,DF,27-360,1994,13.9,621,800,77.6,10345,2967,293,325,90.2,270,333,81.1,45,96,46.9,1,1.2,1.1,-0.2,18,29,17,9,35,https://fbref.com/en/players/a4b00319/Javi-Galan
494,2023,Celta Vigo,La Liga,Luca de la Torre,USA,MF,24-175,1998,0.6,29,31,93.5,433,88,17,18,94.4,8,8,100,2,2,100,0,0,0.1,0,0,4,1,0,3,https://fbref.com/en/players/e9241b40/Luca-de-la-Torre
495,2023,Celta Vigo,La Liga,Hugo Mallo,ESP,DF,31-145,1991,9.7,451,590,76.4,7290,3104,214,236,90.7,190,242,78.5,30,62,48.4,0,0.5,0.5,-0.5,4,29,10,5,29,https://fbref.com/en/players/cb574619/Hugo-Mallo
496,2023,Celta Vigo,La Liga,Agustín Marchesín,ARG,GK,34-243,1988,14,322,453,71.1,9037,6371,62,62,100,151,153,98.7,108,235,46,0,0,0,0,0,5,0,0,1,https://fbref.com/en/players/853b7c48/Agustin-Marchesin
497,2023,Celta Vigo,La Liga,Óscar Mingueza,ESP,DF,23-185,1999,5.3,277,350,79.1,4563,1961,148,158,93.7,105,129,81.4,20,48,41.7,0,0.2,0.6,-0.2,3,26,6,2,20,https://fbref.com/en/players/056269d7/Oscar-Mingueza
498,2023,Celta Vigo,La Liga,Unai Núñez,ESP,DF,25-288,1997,13,659,746,88.3,13300,4671,211,227,93,367,395,92.9,77,116,66.4,0,0.1,0.1,-0.1,3,44,0,0,33,https://fbref.com/en/players/be170419/Unai-Nunez
499,2023,Celta Vigo,La Liga,Gonçalo Paciência,POR,"FW,MF",28-105,1994,3.7,38,67,56.7,578,102,21,31,67.7,13,22,59.1,2,7,28.6,0,0.4,0.2,-0.4,3,4,1,1,1,https://fbref.com/en/players/962e54cb/Goncalo-Paciencia
